Year,Vimizim,Naglazyme,Palynziq,Kuvan,Brineura,Voxzogo,Aldurazyme,Products,Royalty,Revenue,COGS,Gross Profit,R&D,SG&A,Operating Expenses,Operating Income,Interest Expense,Pretax Income,Taxes,Net Profit,EPS,Shares,Share Price,
Q320,148,76,46,124,25,0,41,461,16,477,189,288,147,179,327,-38,-5,-44,0,-44,-0.220200937,198,87,
Q420,143,120,50,89,35,0,1,437,15,452,126,326,157,196,352,-26,5,-22,0,-22,-0.117034194,184,88.82,
Q121,158,107,54,71,27,0,50,468,18,486,120,366,149,174,323,43,-2,41,6,35,0.191668701,184,76.62,
Q221,172,119,59,79,30,0,28,487,15,502,127,375,161,184,345,30,2,32,1,31,0.166976762,185,83.49,
Q321,137,71,61,68,33,0,24,394,15,409,104,305,158,183,341,-36,7,-29,-10,-19,-0.104315172,183,77.09,
Q421,156,83,64,69,37,6,20,435,15,450,120,330,161,218,379,-49,-1,-50,-9,-41,-0.222452248,184,88.45,
Q122,183,128,55,59,36,20,24,506,14,520,117,403,161,195,355,47,-3,44,13,31,0.158477264,195,77.32,
Q222,173,116,62,58,38,34,37,518,16,534,123,411,158,197,355,56,-4,52,7,44,0.237393837,187,83,
Q322,155,100,66,57,38,48,29,493,12,505,116,389,158,197,355,34,1,35,5,30,0.160611432,186,84.87,
Q422,165,100,67,54,39,60,27,512,15,527,116,411,157,228,385,26,1,27,27,0,0.002169654,186,101.51,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
